Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
P,Paul Skenes (1),Paul Skenes,1,P,10800,PIT@CHC,PIT,19.5
P,Tarik Skubal (2),Tarik Skubal,2,P,10500,DET@CLE,DET,19.0
P,Zack Wheeler (3),Zack Wheeler,3,P,9800,PHI@NYM,PHI,17.8
P,Logan Webb (4),Logan Webb,4,P,8600,SF@LAD,SF,15.2
P,Framber Valdez (5),Framber Valdez,5,P,8200,HOU@TEX,HOU,14.8
P,Ranger Suarez (6),Ranger Suarez,6,P,6400,PHI@NYM,PHI,11.5
P,Kyle Harrison (7),Kyle Harrison,7,P,5800,SF@LAD,SF,10.2
P,Bailey Ober (8),Bailey Ober,8,P,6900,MIN@KC,MIN,12.4
C,Will Smith (9),Will Smith,9,C,5200,SF@LAD,LAD,10.1
C,Adley Rutschman (10),Adley Rutschman,10,C,4800,BAL@BOS,BAL,9.4
C,Salvador Perez (11),Salvador Perez,11,C,4200,MIN@KC,KC,8.5
1B,Freddie Freeman (12),Freddie Freeman,12,1B,5400,SF@LAD,LAD,10.8
1B,Pete Alonso (13),Pete Alonso,13,1B,5100,PHI@NYM,NYM,10.2
1B,Vinnie Pasquantino (14),Vinnie Pasquantino,14,1B,4300,MIN@KC,KC,8.6
2B,Marcus Semien (15),Marcus Semien,15,2B,4900,HOU@TEX,TEX,9.7
2B,Jose Altuve (16),Jose Altuve,16,2B,5000,HOU@TEX,HOU,9.9
2B,Andres Gimenez (17),Andres Gimenez,17,2B,3900,DET@CLE,CLE,7.5
3B,Manny Machado (18),Manny Machado,18,3B,5300,SF@LAD,SF,10.5
3B,Alex Bregman (19),Alex Bregman,19,3B,5100,BOS@BAL,BOS,10.0
3B,Isaac Paredes (20),Isaac Paredes,20,3B,4000,HOU@TEX,HOU,7.9
SS,Bobby Witt Jr. (21),Bobby Witt Jr.,21,SS,6200,MIN@KC,KC,12.1
SS,Francisco Lindor (22),Francisco Lindor,22,SS,5900,PHI@NYM,NYM,11.6
SS,CJ Abrams (23),CJ Abrams,23,SS,4600,WAS@ATL,WAS,8.9
OF,Mookie Betts (24),Mookie Betts,24,OF,6100,SF@LAD,LAD,11.9
OF,Juan Soto (25),Juan Soto,25,OF,6300,PHI@NYM,NYM,12.4
OF,Kyle Tucker (26),Kyle Tucker,26,OF,5700,HOU@TEX,HOU,11.2
OF,Julio Rodriguez (27),Julio Rodriguez,27,OF,5400,SEA@OAK,SEA,10.6
OF,Riley Greene (28),Riley Greene,28,OF,4800,DET@CLE,DET,9.5
OF,Steven Kwan (29),Steven Kwan,29,OF,4200,DET@CLE,CLE,8.3
OF,Wyatt Langford (30),Wyatt Langford,30,OF,4400,HOU@TEX,TEX,8.7
OF,Corbin Carroll (31),Corbin Carroll,31,OF,5000,ARI@COL,ARI,9.8
OF,Jasson Dominguez (32),Jasson Dominguez,32,OF,3900,NYY@TB,NYY,7.6
OF,Brenton Doyle (33),Brenton Doyle,33,OF,3600,ARI@COL,COL,7.0
2B,Gleyber Torres (34),Gleyber Torres,34,2B,4100,NYY@TB,NYY,8.0
C,William Contreras (35),William Contreras,35,C,4600,MIL@CIN,MIL,9.0
1B,Yandy Diaz (36),Yandy Diaz,36,1B,4700,TB@NYY,TB,9.2
SS,Willy Adames (37),Willy Adames,37,SS,4900,SF@LAD,SF,9.4
3B,Jose Ramirez (38),Jose Ramirez,38,3B,5800,DET@CLE,CLE,11.4
