Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Josh Allen (1),Josh Allen,1,QB,8500,BUF@MIA,BUF,24.5
QB,Patrick Mahomes (2),Patrick Mahomes,2,QB,8200,KC@DEN,KC,23.8
RB,Christian McCaffrey (3),Christian McCaffrey,3,RB,9000,SF@SEA,SF,22.1
RB,Bijan Robinson (4),Bijan Robinson,4,RB,7800,ATL@NO,ATL,19.4
RB,Saquon Barkley (5),Saquon Barkley,5,RB,7200,PHI@DAL,PHI,18.9
RB,James Cook (6),James Cook,6,RB,6400,BUF@MIA,BUF,15.2
RB,Jahmyr Gibbs (7),Jahmyr Gibbs,7,RB,7500,DET@GB,DET,18.0
WR,Ja'Marr Chase (8),Ja'Marr Chase,8,WR,8800,CIN@BAL,CIN,20.5
WR,Justin Jefferson (9),Justin Jefferson,9,WR,8600,MIN@CHI,MIN,19.8
WR,CeeDee Lamb (10),CeeDee Lamb,10,WR,8300,PHI@DAL,DAL,19.1
WR,Amon-Ra St. Brown (11),Amon-Ra St. Brown,11,WR,7900,DET@GB,DET,18.4
WR,Puka Nacua (12),Puka Nacua,12,WR,7400,LAR@ARI,LAR,17.2
WR,Tyreek Hill (13),Tyreek Hill,13,WR,7600,BUF@MIA,MIA,17.9
TE,Brock Bowers (14),Brock Bowers,14,TE,7000,LV@LAC,LV,15.8
TE,Sam LaPorta (15),Sam LaPorta,15,TE,5600,DET@GB,DET,11.2
TE,Trey McBride (16),Trey McBride,16,TE,5800,LAR@ARI,ARI,12.0
DST,Broncos,Broncos,17,DST,3200,KC@DEN,DEN,9.5
DST,Ravens,Ravens,18,DST,3400,CIN@BAL,BAL,9.8
QB,Jayden Daniels (19),Jayden Daniels,19,QB,7900,WAS@NYG,WAS,21.9
RB,Kyren Williams (20),Kyren Williams,20,RB,6800,LAR@ARI,LAR,16.5
WR,Nico Collins (21),Nico Collins,21,WR,7100,HOU@IND,HOU,16.8
WR,Malik Nabers (22),Malik Nabers,22,WR,6900,WAS@NYG,NYG,16.1
RB,Derrick Henry (23),Derrick Henry,23,RB,7300,BAL@CIN,BAL,17.5
TE,George Kittle (24),George Kittle,24,TE,6200,SF@SEA,SF,13.5
WR,Davante Adams (25),Davante Adams,25,WR,6600,LAR@ARI,LAR,15.5
DST,49ers,49ers,26,DST,3300,SF@SEA,SF,9.2
QB,Lamar Jackson (27),Lamar Jackson,27,QB,8700,CIN@BAL,BAL,25.1
RB,De'Von Achane (28),De'Von Achane,28,RB,6900,BUF@MIA,MIA,16.9
WR,Drake London (29),Drake London,29,WR,6300,ATL@NO,ATL,14.8
TE,Mark Andrews (30),Mark Andrews,30,TE,5200,CIN@BAL,BAL,10.5
QB,Bryce Young (31),Bryce Young,31,QB,5400,CAR@TB,CAR,15.2
RB,Tony Pollard (32),Tony Pollard,32,RB,5100,TEN@JAX,TEN,12.8
RB,Rico Dowdle (33),Rico Dowdle,33,RB,4600,CAR@TB,CAR,11.5
WR,Jameson Williams (34),Jameson Williams,34,WR,5300,DET@GB,DET,12.9
WR,Rome Odunze (35),Rome Odunze,35,WR,4800,MIN@CHI,CHI,11.2
WR,Xavier Worthy (36),Xavier Worthy,36,WR,4400,KC@DEN,KC,10.8
TE,Cole Kmet (37),Cole Kmet,37,TE,3800,MIN@CHI,CHI,8.1
TE,Dalton Kincaid (38),Dalton Kincaid,38,TE,4200,BUF@MIA,BUF,9.0
DST,Bears,Bears,39,DST,2600,MIN@CHI,CHI,7.8
DST,Jaguars,Jaguars,40,DST,2400,TEN@JAX,JAX,7.2
RB,Chuba Hubbard (41),Chuba Hubbard,41,RB,4900,CAR@TB,CAR,11.0
WR,Keon Coleman (42),Keon Coleman,42,WR,4100,BUF@MIA,BUF,9.5
